feature,importance
gcp,0.02775568667138542
aws,0.017350433465897496
description : [gcp],0.015534088408851737
[gcp],0.014835286254859328
: [gcp],0.01177380540541831
_desc: [gcp],0.011450324215217056
short _desc: [gcp],0.009298100328823378
: [gcp] ขอ,0.009096965493561841
[aws],0.008554258738620887
: [aws],0.008407122991106856
_desc: [gcp] ขอ,0.008267740409841797
[gcp] ขอ,0.00795612468427005
: gcp,0.00786818296899109
detail : [gcp],0.007657078663304259
detail : [aws],0.007643227842368417
: aws,0.007446416188193786
description : [aws],0.007036120498115072
aws hub,0.006774637118447785
[aws] ขอ,0.006590879003658908
: [aws] ขอ,0.00622700029009308
short _desc: [aws],0.006150913018145889
: gcp hub,0.005922214698734902
employee name (first,0.005536863565723426
google,0.005263446171865315
aws hub |,0.00499179004085483
last name ):,0.004940285235170327
_desc: [aws],0.004762350959156869
: aws hub,0.0047226936586190985
and last,0.0046982757552171735
name (first name,0.0044208643877514595
_desc: [aws] ขอ,0.0043763591332577284
request : aws,0.00437498158394052
last,0.004328732819096992
gcp hub |,0.004165676406468684
name and last,0.004065881463150431
scg email :,0.003976762539088378
and last name,0.0038082966245891153
name and,0.003739400345563294
gcp hub,0.0036053244076667684
name (first,0.003544212457845849
scg email,0.003491842973628807
hub,0.0034368959212080687
request form,0.003433887990081941
last name,0.0033759621095020786
| aws,0.003343069656369427
| aws hub,0.0032149221890234304
name ):,0.0032008278074446804
gcp cloud,0.0031648938389758547
employee,0.0030627419793813337
gcp hub click,0.0029667114964920843
project,0.0029106803087443323
(first name and,0.0028544842641049202
form,0.0028151006081987093
env : aws,0.002779355980203267
google cloud,0.002777670114251676
| click |,0.002773730093542032
employee name,0.0026902252066781963
hub click here,0.0026128862972807075
gcp project,0.0026032111519584643
task |||,0.0025694700490657796
here | to,0.00255221058991442
| here |,0.002427790515822107
(first name,0.002400221899578549
related environment,0.0023935838350787673
hub |,0.002343404361381712
click |,0.002321511529662841
it one,0.0022345749649695275
aws cloud,0.0022304088457891906
gcp user,0.0022056052334163737
request form for,0.002193135055076682
the task |||,0.0021453853764982177
task ||| detail,0.0021181471656029575
hub click,0.00209613569658225
environment : gcp,0.0020798997747620398
related environment :,0.0020564673099047193
name,0.002050141891070419
allow,0.002025621262813387
request : gcp,0.002021837067533694
(first,0.001976032924315494
):,0.0019723255011861594
@scg.com state :,0.001969229615931762
it,0.0019130655548859473
address : saharabu,0.001902036401253749
| here,0.0018931074218023988
services,0.0018729161287912362
v,0.0018549260882848517
environment : aws,0.001854694550202822
v 3.7,0.0018328036668432196
scg,0.001832197951782141
firewall request,0.0018120340033764757
เข้า,0.00180489621150805
aws account,0.0017878762908163969
one,0.0017633409666024014
gcp cloud project,0.0017382985524725697
here |,0.0017377763388027317
it one services,0.0016858735574791846
aws hub click,0.0016853113774095438
description : firewall,0.0016830569442990678
services aws hub,0.0016799552850168115
firewall v,0.0016729558515452625
