feature,importance
|| gcp _body_hits=0,0.024845661077656653
gcp _body_hits=0 ||,0.020373345484043025
_body_hits=0 || aws,0.018335021747537695
_body_hits=0 ||,0.014795604438646208
gcp _body_hits=0,0.01297614981834225
|| gcp _header_hits=0,0.011203293646607066
gcp _header_hits=0,0.010782058402279774
aws _body_hits=0,0.010025439004146071
|| aws _body_hits=0,0.009229872159920658
_header_hits=0 || gcp,0.008675036979875473
gcp _header_hits=0 ||,0.008373322753431195
| [gcp],0.00813423983384173
aws _header_hits=0,0.007324843078980367
: | [gcp],0.007145159260563043
description : [gcp],0.0069896877136584315
[gcp],0.006682425564532281
_header_hits=0 || aws,0.0062581174338285726
: aws,0.0060486558060850685
gcp _header_hits=2,0.0060322918677971895
aws _header_hits=3,0.005635813582857393
aws _header_hits=0 ||,0.0055093185830825345
| [gcp] ขอ,0.00541819369533142
|| aws _header_hits=0,0.005328803072615846
gcp _body_hits=2,0.005203079035700918
aws hub,0.004931655765170222
[aws],0.004882227045137677
_body_hits=3 || aws,0.004696942011238808
|| aws _body_hits=3,0.0046949735489590985
: [gcp],0.004657279423482822
_desc=[gcp],0.004534554889743722
=[gcp],0.004485808706375586
_header_hits=2 || aws,0.004460197673261675
aws _body_hits=3,0.004454365336203025
desc =[aws],0.004398573884557466
short _desc: [gcp],0.004246057035599366
[gcp] ขอ,0.004222492061770309
|| short _desc=[gcp],0.004139907676577709
|| gcp _header_hits=2,0.00406947775209722
: [gcp] ขอ,0.004010692139728095
short _desc=[gcp],0.0038323076907669324
|| gcp _body_hits=3,0.0037826952921236373
|| desc =[gcp],0.0037490619136244935
: | [aws],0.0036626655865867152
aws _header_hits=3 ||,0.0036353848568713614
scg email,0.0036209100328427534
: [aws],0.0036018982307194874
|| aws _header_hits=3,0.0035834686502922344
last name ):,0.003573320122475372
=[aws],0.0035378886255756736
_body_hits=2 ||,0.003474707183908473
_body_hits=2 || aws,0.003467377601021167
|| desc =[aws],0.0033659468827790017
description : [aws],0.0033478282196697236
scg email :,0.003285940107518406
_body_hits=3 ||,0.003281451762674864
| aws hub,0.003262258335974485
|| rule _aws_hub=0,0.003209033384044185
gcp _body_hits=3,0.0031591797039255275
desc =[gcp] ขอ,0.0031493455098045766
_aws_hub=1,0.003039516424159884
desc =[gcp],0.0029901335373861454
_desc=[gcp] ขอ,0.002914894272908588
name ):,0.0029048152528728484
|| gcp _body_hits=2,0.0028887725292946016
=[aws] ขอ,0.0028799774610532504
_desc: [gcp] ขอ,0.002879012179432862
google,0.0028428873091168707
_aws_hub=0 || rule,0.00282605040363472
|| aws _body_hits=2,0.0028144326472707686
| [aws] ขอ,0.0027999383324913115
short _desc=[gcp] ขอ,0.0027901338253497315
aws _body_hits=2,0.0027863779714320924
rule _aws_hub=1,0.00274942751833004
_desc: [aws] ขอ,0.0027290867462462036
short _desc: [aws],0.0027051472612221322
name and,0.0026859992793084974
_aws_hub=0 ||,0.002660116193444589
: aws hub,0.002647151636116671
_aws_hub=1 || rule,0.00264643385722724
aws _header_hits=2,0.002638530830495125
|| aws _header_hits=2,0.0025969102373443204
| aws,0.0025812650258977272
gcp _body_hits=2 ||,0.002534509374548621
| employee,0.002492053935867487
aws hub |,0.002466908140423964
| [aws],0.002404614103142079
|| short _desc=[aws],0.0023626135862912434
: [aws] ขอ,0.002361166743808184
rule _aws_hub=0 ||,0.002339442777058184
_aws_hub=0,0.002334320487350095
_desc=[aws],0.002327499899234207
gcp _header_hits=2 ||,0.002312197024850965
| gcp,0.002275080694100634
gcp _header_hits=3 ||,0.0022209987730803754
_header_hits=3 || aws,0.0021992740018892325
|| rule _aws_hub=1,0.00216987637715063
short _desc=[aws],0.0021432239276004505
| scg email,0.0021347947414837943
=[gcp] ขอ,0.002100628831096232
gcp hub,0.002097777289800331
: gcp hub,0.002076098728704622
_header_hits=2 || gcp,0.0020616687555980984
one,0.0020522584760702582
(first,0.0020144089487710835
| related,0.0020042763442785967
aws hub click,0.0020026577170774353
: gcp,0.002000081470593118
last,0.001972834735490305
and last name,0.0019612549264382117
rule _gcp_hub=1,0.0018830645050566066
(first name and,0.0018512299095971923
it,0.0018190490266261317
rule _aws_hub=1 ||,0.0018048733176249537
and last,0.0017895489027848694
gcp _body_hits=3 ||,0.0017714885069061914
=aws hub,0.0017606054041274192
aws _header_hits=2 ||,0.0017528505316563422
employee name (first,0.001740804504581506
| employee name,0.0017262940778592125
hub click here,0.001712140532331879
name,0.0016673071626614822
firewall request,0.0016551658195793622
short _desc=firewall request,0.0016431601148082287
@scg.com state,0.001614130620155574
[aws] ขอ,0.001603297432342221
_desc=[aws] ขอ,0.0015923567281893294
_desc: [aws],0.001564129122190161
request form,0.0015511806868314607
_desc: [gcp],0.0015207613510130468
desc =[aws] ขอ,0.0015090265444502537
: | gcp,0.0014985267320661655
|| gcp _header_hits=3,0.00149156535067199
_aws_hub=1 ||,0.0014760068171183562
_gcp_hub=1 || rule,0.0014397606615366076
| it one,0.001427226842537614
gcp cloud,0.0014033537828972702
employee,0.0013926512251332646
email :,0.0013924244952274562
request : aws,0.0013871776796959146
gcp _body_hits=1,0.0013816353451598967
):,0.0013518065445623797
environment,0.0013476091476579265
services | aws,0.0013459083794189297
gcp project,0.0013447037177365048
_body_hits=1 ||,0.00132152931155056
environment : aws,0.0013202436476460612
hub click,0.0013168987909419018
one services |,0.0012994505375422516
one services aws,0.001294950038735034
name (first name,0.0012884358824212664
_gcp_hub=1 ||,0.0012860390423000997
gcp _header_hits=3,0.0012744866462371834
task [sep],0.0012685596872506152
_desc: firewall,0.0012681183152584324
project,0.0012662308494122776
related environment :,0.0012575640282616925
gcp hub |,0.0012364231998500663
gcp user,0.0012112082746692202
gcp project name,0.0012072875267752318
it one services,0.0012040302110590789
gcp _body_hits=5,0.0011925053946752568
env =gcp hub,0.0011906011553036251
aws cloud,0.0011863256906500096
rule _aws_ip=1 ||,0.0011739581000551088
(086),0.0011525509117527677
|| gcp _body_hits=1,0.001146531964065679
=gcp,0.0011455250080768386
description : firewall,0.0011408254017006639
_header_hits=2,0.0011181802715369527
firewall request :,0.0011169553749925732
_env: gcp hub,0.001091347107394173
|| rule _aws_ip=1,0.0010735363455410718
_env:,0.0010696735064003558
name and last,0.0010687391879682015
[sep] related _env:,0.0010659083412380163
=aws hub |,0.0010658559844819212
_desc=firewall request :,0.0010654545627274135
for firewall v,0.0010501437195250018
3.7,0.0010435064455633295
_gcp_hub=0,0.0010363876869760229
_header_hits=3,0.0010310039710887257
employee name,0.0010288332170890735
: | firewall,0.0010218139544937383
services aws hub,0.0010193354947355784
_desc=firewall request,0.0010110291499806675
_header_hits=2 ||,0.0010086976957163283
environment :,0.001000737531651489
[sep] related,0.000998381132542231
|| env =aws,0.000995938570610809
= || desc,0.0009914993230776613
_body_hits=2,0.00097951210131661
services |,0.000978206431068255
: req _id,0.0009729271802935985
_env: it,0.000971529264484184
_gcp_hub=0 || rule,0.0009698605487392833
_desc: firewall request,0.0009678350853755058
_header_hits=3 || gcp,0.0009519812147366449
_aws_ip=1 || gcp,0.0009458670251815396
name (first,0.0009417501741110492
| firewall request,0.0009397842211129709
